,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
2012,1,0,2,16,2012,8.2,1,http://www.cian.ru/sale/flat/150377850/,19.0,14.0,0,16.0,6400000,косметический,,36.0,1.0,8.526171905478815,55.889689,37.616126,1
2013,1,0,2,8,2013,7.6,1,http://www.cian.ru/sale/flat/150316124/,22.8,10.0,0,9.0,6400000,косметический,1.0,37.6,0.0,9.489798428316478,55.880217,37.574238,2
2014,1,0,2,2,2014,5.6,–,http://www.cian.ru/sale/flat/151121364/,16.8,13.0,0,5.0,6400000,косметический,,30.0,1.0,4.549891681892671,55.824607,37.629924,1
2015,1,0,2,22,2015,12.0,1,http://www.cian.ru/sale/flat/150108298/,15.0,,0,24.0,6400000,евроремонт,,34.5,,12.237973478056901,55.905745,37.552049,1
2016,1,0,2,4,2016,,1,http://www.cian.ru/sale/flat/150897176/,11.4,8.0,1,20.0,3224000,,,24.8,1.0,8.329849477854795,55.879981,37.597562,студиявЖК«Барбарис»
2017,0,0,2,2,2017,,1,http://www.cian.ru/sale/flat/151098451/,20.0,10.0,1,18.0,4654892,,,29.5,1.0,6.079572230306531,55.850616,37.618053,1
2018,1,0,2,11,2018,30.0,1,http://www.cian.ru/sale/flat/138919546/,100.0,21.0,0,15.0,44500000,косметический,,150.0,1.0,6.41708017491993,55.836428,37.65523,4
2019,–,0,2,2,2019,7.0,1,http://www.cian.ru/sale/flat/151000108/,23.0,13.0,0,9.0,6400000,евроремонт,1.0,38.0,1.0,6.1833909542276455,55.830832,37.586625,1
2020,–,0,2,2,2020,7.0,1,http://www.cian.ru/sale/flat/150999476/,24.0,13.0,0,9.0,6400000,евроремонт,1.0,38.0,1.0,6.1833909542276455,55.830832,37.586625,2
2021,–,0,2,1,2021,8.4,1,http://www.cian.ru/sale/flat/149294195/,31.0,13.0,0,12.0,6400000,косметический,,51.0,1.0,9.112098372740975,55.895055,37.601466,2
2022,1,0,2,5,2022,6.0,1,http://www.cian.ru/sale/flat/150084405/,29.0,15.0,0,9.0,6400000,косметический,1.0,43.1,0.0,12.232167943062972,55.879036,37.70558,2
2023,1,0,2,2,2023,10.0,1,http://www.cian.ru/sale/flat/150075811/,20.0,,0,16.0,6475000,косметический,0.0,42.0,,12.403428506028996,55.906456,37.55019,1
2024,1,0,2,2,2024,6.7,1,http://www.cian.ru/sale/flat/149889043/,30.3,15.0,0,12.0,6499000,косметический,1.0,47.4,1.0,7.820782067747409,55.862004,37.58623,2
2025,1,0,2,8,2025,10.0,1,http://www.cian.ru/sale/flat/150543998/,20.0,18.0,0,14.0,6499000,евроремонт,,40.0,1.0,7.474922303733359,55.873137,37.622118,1
2026,1,0,2,4,2026,9.0,0,http://www.cian.ru/sale/flat/150638579/,20.0,16.0,0,5.0,6500000,косметический,,36.0,1.0,6.174771666754177,55.830139,37.586266,1
2027,1,0,2,7,2027,10.0,1,http://www.cian.ru/sale/flat/150938923/,27.3,9.0,0,16.0,6500000,косметический,1.0,37.3,1.0,9.372869434330628,55.89182,37.653891,1
2028,1,0,2,7,2028,7.7,1,http://www.cian.ru/sale/flat/151052700/,23.0,1.0,0,9.0,6500000,косметический,1.0,37.0,1.0,7.1400755535659,55.854805,37.650918,2
2029,1,0,2,3,2029,7.7,1,http://www.cian.ru/sale/flat/149593405/,25.0,20.0,0,9.0,6500000,евроремонт,1.0,38.0,1.0,7.564452011138792,55.872652,37.633329,2
2030,1,0,2,4,2030,6.0,–,http://www.cian.ru/sale/flat/150744339/,29.0,8.0,0,5.0,6500000,косметический,,44.0,1.0,4.173598930325661,55.819702,37.625981,2
2031,1,0,2,7,2031,6.0,1,http://www.cian.ru/sale/flat/150682353/,20.0,10.0,0,9.0,6500000,евроремонт,1.0,32.0,1.0,4.200276470393633,55.817572,37.632556,1
2032,1,0,2,1,2032,7.0,1,http://www.cian.ru/sale/flat/147941684/,30.0,5.0,0,12.0,6500000,косметический,,46.3,1.0,8.711517473390206,55.885721,37.596372,2
2033,0,0,2,2,2033,9.0,1,http://www.cian.ru/sale/flat/150890984/,20.0,5.0,0,12.0,6500000,евроремонт,1.0,40.0,1.0,6.910124531727909,55.859524,37.603604,1
2034,–,0,2,2,2034,10.0,1,http://www.cian.ru/sale/flat/151005010/,20.0,30.0,0,8.0,6500000,дизайнерский,,35.0,1.0,11.142565500990962,55.872218,37.69595,1
2035,–,0,2,1,2035,6.3,1,http://www.cian.ru/sale/flat/150738311/,28.0,3.0,0,9.0,6500000,евроремонт,1.0,42.0,1.0,9.690074458516147,55.888089,37.664536,2
2036,1,0,2,16,2036,8.0,1,http://www.cian.ru/sale/flat/150779151/,20.0,8.0,0,17.0,6500000,косметический,,39.0,1.0,8.17121120368736,55.868693,37.656011,1
2037,1,0,2,12,2037,8.5,1,http://www.cian.ru/sale/flat/150339211/,21.1,15.0,0,12.0,6500000,косметический,,39.8,1.0,7.702883106453268,55.860671,37.587057,1
