,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
0,3 лодж.,0,0,13,0,21.0,1,http://www.cian.ru/sale/flat/149842552/,90.0,10.0,0,21.0,105000000,,,181.4,1.0,8.052168285411346,55.761558,37.549067,4
1,1,0,0,7,1,21.2,1,http://www.cian.ru/sale/flat/150048444/,47.6,5.0,0,10.0,33594000,отсутствует,,76.0,1.0,3.1574518118218142,55.782906,37.598232,2
2,2 лодж.,0,0,3,2,19.0,Ц,http://www.cian.ru/sale/flat/146453654/,146.5,12.0,0,3.0,119900000,евроремонт,1.0,227.5,1.0,4.778136207596314,55.740917,37.5789,4
3,0,0,0,2,3,,1,http://www.cian.ru/sale/flat/150346368/,17.3,5.0,0,6.0,4814581,,0.0,17.3,1.0,5.845458443318635,55.776294,37.672163,1
4,Ц,0,0,2,4,,1,http://www.cian.ru/sale/flat/148567438/,,5.0,0,5.0,4814581,,,17.3,1.0,5.845458443318635,55.776294,37.672163,1
5,Ц,0,0,5,5,,1,http://www.cian.ru/sale/flat/149023045/,,5.0,0,5.0,5377566,,,18.3,1.0,5.845458443318635,55.776294,37.672163,1
6,0,0,0,5,6,,1,http://www.cian.ru/sale/flat/149031321/,18.3,6.0,1,,5377566,,,18.3,1.0,5.812966511764322,55.775753,37.671938,1
7,0,0,0,2,7,,1,http://www.cian.ru/sale/flat/148794719/,23.7,5.0,0,6.0,5496232,,0.0,23.7,1.0,5.845458443318635,55.776294,37.672163,1
8,0,0,0,2,8,,1,http://www.cian.ru/sale/flat/149031261/,23.7,6.0,1,,5496232,,,23.7,1.0,5.812966511764322,55.775753,37.671938,1
9,Ц,0,0,1,9,7.0,1,http://www.cian.ru/sale/flat/150640194/,20.0,4.0,0,9.0,5500000,косметический,1.0,32.0,1.0,5.963411283242945,55.730101,37.673214,1
10,1,0,0,3,10,6.0,Ц,http://www.cian.ru/sale/flat/149849414/,16.0,,0,5.0,5999000,отсутствует,1.0,30.0,,10.997486288622799,55.756356,37.522477,1
