,Balcony,Built_year,Floor,Home_type,ID,Kitsp,Lift,Link,Livesp,Metrdist,Nfloor,Parking,Price,Remont,Roof_hight,Sales_type,Sdacha_GK,Search,Tel,Totsp,View,WC,Walk,dist,lat,lon,rooms
72,нет,,5,            новостройка,72,,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/148295714/,,,7.0,,2314280,,,свободная,1 кв. 2017 года,0,,23.9,–,,,57.07884331105729,55.592683,37.116483,студиявЖК«Медоваядолина»
73,–,,1,"            вторичка, ",73,6.0,–,http://www.cian.ru/sale/flat/151577002/,23.0,30.0,3.0,наземная,2340000,отсутствует,,свободная,,0,,32.0,двор,1,1.0,20.948182783173106,55.52407,37.483786,1
74,–,,1,            вторичка,74,5.0,–,http://www.cian.ru/sale/flat/150229811/,22.0,30.0,3.0,наземная,2340000,отсутствует,"                3,50 м",свободная,,0,нет,32.0,двор,1,1.0,20.948182783173106,55.52407,37.483786,2
75,–,,4,"            новостройка, ",75,,нет,http://www.cian.ru/sale/flat/152133336/,,30.0,4.0,,2365100,,,свободная,—,0,,35.3,улица,,0.0,38.52725200072605,55.433065,37.325358,1
76,1 балк.,,10,"            новостройка, ",76,,1 пасс. + 1 груз.,http://www.cian.ru/sale/flat/151729603/,15.8,30.0,18.0,,2383360,,,свободная,—,0,,24.3,двор,1,0.0,54.05959103244139,55.966409,37.150548,1
77,–,2015,1,"            вторичка, ",77,,2 пасс. + 1 груз.,http://www.cian.ru/sale/flat/152368771/,15.0,5.0,17.0,,2390000,отсутствует,,свободная,,0,,17.0,–,1,0.0,30.526968035752844,55.602963,37.360304,1
78,1 балк.,1973,1,"            вторичка, ",78,3.0,–,http://www.cian.ru/sale/flat/152143232/,13.0,12.0,9.0,наземная,2390000,косметический,"                2,64 м",свободная,,0,,16.0,двор,1,1.0,9.194738358142759,55.606751,37.612811,студия
79,1 балк.,,3,"            вторичка, ",79,5.0,–,http://www.cian.ru/sale/flat/150894812/,25.0,15.0,3.0,наземная,2390000,отсутствует,,свободная,,0,,32.0,двор,1,0.0,20.948182783173106,55.52407,37.483786,1
80,–,,2,"            новостройка, ",80,10.2,–,http://www.cian.ru/sale/flat/151450772/,28.6,30.0,3.0,наземная,2400000,,,переуступка,1 кв. 2017 года,0,,51.1,двор,1,0.0,79.93660449494168,55.49766,36.917628,2
81,–,,2,"            новостройка, ",81,,нет,http://www.cian.ru/sale/flat/152133245/,,30.0,4.0,,2414000,,,свободная,—,0,,37.2,улица,,0.0,38.52725200072605,55.433065,37.325358,1
